Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/apis.json?markdownPath=reference&markdownPath=react&markdownPath=apis-2,444",150,127,73,316,408,667,46,1042,0.667%,.62040,0.36,0.31
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/act.json-2,445",150,188,92,401,651,1436,51,1958,2.000%,.62042,2.13,0.32
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/memo.json-2,449",150,231,133,445,661,1663,50,5005,1.333%,.62014,4.90,0.32
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/createContext.json-2,446",150,138,99,268,381,604,49,654,1.333%,.62012,2.30,0.33
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/useContext.json-2,447",150,260,136,608,751,2066,52,2385,2.000%,.62053,6.07,0.33
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/lazy.json-2,448",150,144,100,268,433,635,50,666,1.333%,.62055,2.26,0.32
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/useMemo.json-2,450",150,292,173,716,952,1512,55,2214,2.000%,.62055,8.89,0.33
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/useCallback.json-2,451",150,237,133,500,659,1374,54,3406,0.667%,.62139,6.83,0.33
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/use.json-2,452",150,188,115,349,517,1065,51,2185,0.000%,.62308,3.72,0.32
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/startTransition.json-2,454",150,142,87,307,441,907,50,1004,1.333%,.62324,1.67,0.34
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/useTransition.json-2,453",150,279,140,638,773,3103,54,3377,2.000%,.62378,8.27,0.34
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/learn/passing-data-deeply-with-context.json-2,455",150,193,107,469,587,1014,52,1853,1.333%,.62395,6.12,0.34
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/addTransitionType.json-2,456",150,138,82,248,378,1035,50,1060,1.333%,.62402,1.77,0.34
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/cache.json-2,457",150,177,111,307,597,1091,51,2268,0.667%,.62400,4.71,0.33
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/cacheSignal.json-2,458",150,142,79,237,397,1214,48,1243,0.667%,.62379,1.49,0.33
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/captureOwnerStack.json-2,459",150,153,92,274,477,885,52,1435,0.667%,.62407,3.01,0.34
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/startTransition.json-2,460",150,124,80,216,284,835,49,1185,0.000%,.62438,1.67,0.34
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/useCallback.json-2,461",150,313,123,457,925,2946,52,12310,0.667%,.62470,6.86,0.33
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/useCallback.json?markdownPath=reference&markdownPath=react&markdownPath=useCallback-2,462",150,107,71,195,281,511,48,798,1.333%,.62500,0.37,0.32
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/useActionState.json-2,463",150,260,138,566,644,2012,52,5077,2.667%,.62425,7.09,0.34
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/useEffectEvent.json-2,467",150,229,113,273,375,1133,49,11222,1.333%,.62618,4.31,0.34
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/useDeferredValue.json-2,465",150,174,110,373,489,833,51,1603,0.667%,.62627,4.99,0.35
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/useId.json-2,468",150,130,90,217,282,647,48,2157,0.667%,.62636,2.76,0.33
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/useEffect.json-2,466",150,284,187,650,840,1353,55,2017,2.667%,.62643,11.81,0.34
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/useDebugValue.json-2,464",150,114,84,230,291,371,48,439,0.000%,.62681,1.58,0.34
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/useImperativeHandle.json-2,469",150,147,91,230,547,1085,50,1131,0.667%,.62682,2.47,0.35
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/useInsertionEffect.json-2,470",150,129,90,233,334,552,51,980,0.000%,.62693,2.31,0.35
